V161198,V161178,V161126,V161310x,V161196x,V160101,V161087
4,NA,4,White,7,0.8164,0
5,NA,5,White,2,1.0533,60
5,1,5,White,2,1.0713,85
4,NA,NA,NA,7,1.899,50
7,4,4,NA,7,0.8797,40
1,4,3,NA,7,1.2425,35
1,5,1,White,7,0.707,0
7,2,5,NA,1,1.0322,70
6,5,NA,White,2,2.2331,85
NA,7,2,White,7,2.9675,0
5,3,NA,Black,6,0.8328,0
4,5,3,NA,7,0.6351,0
2,NA,NA,Black,7,0.2884,0
1,7,5,NA,1,0.5532,85
6,3,5,NA,6,0.6918,85
1,NA,5,White,7,0.9504,0
5,7,5,White,7,0.9561,30
2,NA,2,Black,4,0.447,50
2,6,2,White,7,0.5444,0
NA,6,NA,NA,4,2.9569,0
5,4,6,White,2,0.2594,40
4,5,2,NA,7,0.2614,0
7,2,6,NA,1,0.32,85
7,4,2,White,7,0.3922,15
6,4,5,White,4,1.5203,70
7,3,6,White,7,1.059,30
4,5,NA,Black,5,1.0293,0
7,NA,4,White,4,0.8213,50
6,4,7,White,1,0.7993,85
NA,NA,NA,NA,7,0.5692,0
7,5,7,White,1,0.5655,100
6,3,4,White,4,0.5469,0
4,4,2,White,7,1.6061,15
2,5,1,NA,7,1.1923,0
4,4,4,White,7,0.5415,60
4,5,3,White,7,1.1074,20
NA,4,2,NA,7,0.2527,15
2,4,2,White,7,0.7117,0
4,NA,1,White,7,0.9458,0
1,6,NA,NA,7,0.4593,50
NA,3,5,White,4,0.6911,60
7,1,6,White,1,2.1362,100
4,4,4,White,6,1.381,60
NA,NA,NA,NA,7,0.9401,0
3,1,7,White,2,0.5676,35
2,6,1,White,7,1.1668,0
6,2,4,White,2,0.3836,40
7,NA,NA,NA,6,0.698,0
4,5,5,Black,7,0.3387,0
4,NA,NA,White,2,0.3625,60
3,NA,6,White,4,1.1198,70
4,4,4,NA,7,1.2127,50
2,7,1,White,7,0.5424,0
NA,NA,NA,Black,4,1.7777,70
3,4,4,White,2,1.0226,50
6,3,6,White,2,1.0497,85
4,4,2,White,7,1.1477,0
4,2,NA,White,4,0.4553,70
1,5,2,Black,7,2.3989,30
5,5,6,White,2,0.8011,60
2,5,3,Black,7,1.1138,15
2,3,NA,Black,7,0.6199,0
7,5,NA,Black,7,0.7534,0
3,3,5,White,7,0.6638,15
2,5,4,White,4,0.2848,0
6,4,NA,White,2,0.7541,50
4,3,5,White,6,0.8794,0
6,1,7,White,1,1.2241,100
